	seq_id	image_id	image_path	image_cat	image_subcat	d1	d2	d3	d4	d5
3520	3520	807	training/l/living_room/ADE_train_00000807.jpg	living_room		The living room couch has an end table and lamp at both ends.	A five-blade ceiling fan hangs from the popcorn ceiling.	A floral patterned window treatment adorns the streetview.	A large plant by the window waves at its smaller sibling on the coffee table.	An art piece depicting three flower pots is on the wall behind the couch.
3521	3521	8420	training/g/game_room/ADE_train_00008420.jpg	game_room		Gaming room with a Pool table, Foosball table and 2 pinball machines	The floor is white linoleum and the walls are tan	The pool table has a red cover	There are various pictures in frames on the wall	There is a slot machine on a end table against the back wall
3522	3522	7123	training/d/dining_room/ADE_train_00007123.jpg	dining_room		The picture is of a long elegant dining table.	There is a chandelier above the table and also on in the adjacent room which can be seen through an arched doorway.	There is an elegant rectangular mirror on the wall.	There are a few gray/purple vases on the table runner and also a green fern-like plan on the table.	The backs of three dining room chairs is shown on one side.
3523	3523	19412	training/u/utility_room/ADE_train_00019412.jpg	utility_room		there is a white cabinet across from the dryer in the corner	next to the white dryer is a white washing machine	the silver exhaust tubing is coming from the dryer into the upper blue wall	next to the washing machine is a large white sink	there is a white outlet in the wall above the washing machine with black cords plugged in
3524	3524	15182	training/p/parlor/ADE_train_00015182.jpg	parlor		A DRESSING TABLE AND MAKE UP MIRROR.	AT TEH END OF A HALLWAY WITH WALLPAPER AND WALLS ON WITHER SIDE.	HAS A MATCHING CHAIR WITH A PINK CUSHION.	THERE ARE VICTORIAN INSPIRED PICTURES HANGING ABOVE THE MAKEUP TABLE.	THERE ARE MANY CANDLE OPERAS ON THE WALLS ON WITHER SIDE.
3525	3525	665	training/l/living_room/ADE_train_00000665.jpg	living_room		There is a picture on the wall	There are 2 lamps on end tables	There is a multi colored area rug on the floor	there are 2 bookcases on the sides of a fireplace	there are chairs and a large window in this room
3526	3526	20162	training/y/youth_hostel/ADE_train_00020162.jpg	youth_hostel		It's a bedroom	that is quite outdated	with bunkbeds on one side and a single bed to the other	that only have mattresses, no sheets	the wall is cheaply panneled in wood
3527	3527	6920	training/d/dining_room/ADE_train_00006920.jpg	dining_room		This is a dining room kitchen area.	The walls are yellow with accents of white.	The dining area is next to sliding doors leading to a balcony.	The floors are shiny and made of wood.	There is a blue tiled island dividing the kitchen and dining area.
3528	3528	430	training/b/bedroom/ADE_train_00000430.jpg	bedroom		This is a bedroom.	The bedding is all white.	On both sides of the bed are night stands.	On top of the night stands are matching lamps.	The curtains in the room are blue.
3529	3529	6885	training/d/dining_room/ADE_train_00006885.jpg	dining_room		IT IS A DINING ROOM WITH A LARGE WOOD HUTCH IN THE CORNER.	TEHRE IS A LARGE WINDOW NEXT TO TEH HUTCH WITH VERTICAL BLINDS.	THERE IS A WOOD TABLE WITH GREEN CHAIRS.	THERE ARE MANY PICTURES HANGING ON LIGHT COLORED WALLS.	THERE IS A METAL WOOD STOVE AGAINST THE WALL ALSO.
3530	3530	8374	training/g/game_room/ADE_train_00008374.jpg	game_room		It's a games room	with a small pool table with black felt	a wetbar is to one side of the room	a table and two high chairs are on the other	the room has nice wood floors
3531	3531	1940	training/a/attic/ADE_train_00001940.jpg	attic		Imagine an attic bedroom interior of a residential house with an A frame roof.	This room has an oak wood floor, 2 skylights, track lighting and 2 windows facing a wooded area.	Also pictured is a ceiling fan and white shelf fixtures, window shades and a lamp.	The modern decor in the room would be perfect for a college student or single individual.	This room might also be used as an office space or children's room.
3532	3532	10699	training/k/kitchen/ADE_train_00010699.jpg	kitchen		It's a kitchen	with a washing machine in it	it has a mostly white induction over and range	with a white microwave on the countertop	and black and white checked floor
3533	3533	696	training/l/living_room/ADE_train_00000696.jpg	living_room		This is a living room.	There are two small chandeliers on the ceiling.	The room has two chairs and a loveseat with a flower pattern.	There is an oriental expensive rug on the floor.	The room is fancy with big windows.
3534	3534	9316	training/h/home_office/ADE_train_00009316.jpg	home_office		There is a computer desk inside a dresser.	There is a black rolling chair in front of this area.	There is multiple drawers for the monitor, keyboard, and printer.	There is also a shelf for you to put your coffee on!	At the very top is an area for books.
3535	3535	2560	training/b/bathroom/ADE_train_00002560.jpg	bathroom		This is a bathroom.	The tub and toilet are white.	The walls are painted white.	There is a sky light over the tub.	The sink has a black counter top.
3536	3536	6872	training/d/dining_room/ADE_train_00006872.jpg	dining_room		This is a photo of a dining table.	The chairs are cream colored.	There are 6 drinking cups on the table.	Behind the head of the table is a shelf with candles on it.	Above the shelf is a painting hanging on the wall.
3537	3537	10156	training/k/kitchen/ADE_train_00010156.jpg	kitchen		there is a stainless steel bread box on the shelf above the sink	there is a black and stainless steel toaster oven behind the sink	there are white ceramic cannisters to the right of the toaster oven	to the left of the bread box on the shelf is a box of tissue	there are red flowers below the stainless steel switchplate to the left of the sink
3538	3538	101302	validation/d/dinette/home/ADE_val_00001302.jpg	dinette	home	dining area with eight window and a chandeleir above the table	the brown round table has four black chairs and a vase with flowers on top of it	there is a television to the right with a woven basket underneath	there are two sets of shelves to the left, one has flowers on top the other has a lamp	there is a white chair to the far left
3539	3539	10722	training/k/kitchen/ADE_train_00010722.jpg	kitchen		It's a kitchen with light brown cabinets.	There is sunlight streaming into the windows.	There is a bowl of tomatoes on the counter.	It's a kitchen and outside is the sea or a lake.	It looks like a rich lady's kitchen.
3540	3540	100258	validation/c/closet/ADE_val_00000258.jpg	closet		Look for the closet	that is highly organized	and has a cheetah skin on the floor	in the middle of the closet is a small stool	and there are seven drawers behind it
3541	3541	6981	training/d/dining_room/ADE_train_00006981.jpg	dining_room		a wooden table with four wooden chairs	a clear glass vase with sunflowers in it are sitting atop the table	outside thedoor is a white picket fence	inside the white picket fence is a garden of flowers	there is a woven basket tray on top of the table
3542	3542	7096	training/d/dining_room/ADE_train_00007096.jpg	dining_room		There is a red wood dining table with six chairs in the middle of the room.	There is a vase filled with yellow roses on the table.	There is a long hanging plant in the righthand corner of the room.	The table is on really shiny hardwood flooring.	There is a bright window to the left of the table.
3543	3543	11481	training/l/living_room/ADE_train_00011481.jpg	living_room		A gold sectional couch is against the left wall, and angles into the room.	Four framed artwork pictures are hung over the couch on the wall.	There's a second room behind the room with the couch.	The second room has white french doors on the far wall, leading to a third room.	There's a small dark brown table in front of the couch.
3544	3544	478	training/b/bedroom/ADE_train_00000478.jpg	bedroom		This is a sleet bedroom with a great unobstructed mountain view.	The platform bed has a stripes quilt in pinks and aqua.	There is a large fan over the bed.	There is a TV with a corner wall mount and a night stand.	The bedroom opens to a narrow but elongated balcony to enjoy the total landscape view.
3545	3545	3470	training/b/bedroom/ADE_train_00003470.jpg	bedroom		Its in the room with the yellow print wallpaper and green carpet.	It has a single size wooden bed which is made.	There is a bedside table and lamp.	The chester drawers is small and shallow.	And there is a chair to sit and read.
3546	3546	101960	validation/h/hotel_room/ADE_val_00001960.jpg	hotel_room		There is a small bed,	There is a grey door.	There are three lamps.	The blinds are closed.	There is a small end table
3547	3547	10682	training/k/kitchen/ADE_train_00010682.jpg	kitchen		There is a stove on the back.	There are two chairs by the bar.	There is a vent above the stove.	There is a sink to the right of the stove.	There are white drawers.
3548	3548	7173	training/d/dining_room/ADE_train_00007173.jpg	dining_room		Large dining hall with 2 chandeliers	There are 4 square tables and one round table surrounded by chairs	The wallpaper is white with a flower design	The floors are wooden and there is a long rug that comes from the main entry along the floor	There is a christmas tree in the corner by a window with a sheer curtain and pink valance
3549	3549	11171	training/l/living_room/ADE_train_00011171.jpg	living_room		there is a television to the left on a wood stand	there is a glass topped coffee table in the middle of the room	in the corner is a white settee with red pillows	above the settee is a red picture	there is a table to the right of the couch with a table lamp on it
3550	3550	16820	training/s/staircase/ADE_train_00016820.jpg	staircase		There is a plant beside the stairs.	There is a wood stairs.	There is carpet on the stairs.	There is a mirrow to the left.	There is a vent beside the plant.
3551	3551	7228	training/d/dining_room/ADE_train_00007228.jpg	dining_room		The image is of a dining area and the jungle themed area rug under the table and chairs gives a cluttered feel to the image	in the foreground on the left is a life size peacock statue.	The table is set for six with pink  placemats under the dishes and the chair backs slightly resemble hearts and almost look to small for the chairs	The back wall has a hutch that reaches to the ceiling and a large potted plant on each side.	On the left is a low long white cabinet with a lattice pattern on the doors.
3552	3552	566	training/c/closet/ADE_train_00000566.jpg	closet		It's a closet	very well organized	with 10 drawers directly in front	and shelves on all three sides	The shoe storage is on the left
3553	3553	6876	training/d/dining_room/ADE_train_00006876.jpg	dining_room		This room is painted beige, and looks like it may be apart of the kitchen.	There is a nice strong dark colored wood table and chairs	There is a balcony out side of the windows and sliding door.	There are three stool type chairs sitting next to a shelf table that divides another room.	The room also has nice wood floors.
3554	3554	7104	training/d/dining_room/ADE_train_00007104.jpg	dining_room		This is a dining room.	There is a chandelier above the table.	There is a mint green table cloth on the table.	The chairs are made of wood.	There is a small vase with pink and blue flowers on the table.
3555	3555	8380	training/g/game_room/ADE_train_00008380.jpg	game_room		This is a picture of a room with several pinball machines and a pool table.	The pool table is topped with green felt.	There is one pool cue and three balls on the pool table.	Then pinball machines are lined against the wall,  directly adjacent to each other.	The floor is checkered with black and white.
3556	3556	2567	training/b/bathroom/ADE_train_00002567.jpg	bathroom		It's an upscale bathroom	with a white fluffy bathrobe hanging on the door on a hangar	and a pink orchid near the door	The stand up shower has patterned tiles	and the white pedestal sink has a large mirror above it
3557	3557	68	training/b/bathroom/ADE_train_00000068.jpg	bathroom		here is a  dimly lit bathroom.	two hand towels hang from a rod on the right.	there are his and hers sinks set into the counter.	the walls are tan	a sconce is on each side of the counter.
3558	3558	3459	training/b/bedroom/ADE_train_00003459.jpg	bedroom		This is a bedroom.	The bed has a white coverlet folded down.	There are throw pillows in different shades of blue on the bed.	There are three windows with blueish grey curtains.	There's a table lamp on the far side of the bed.
3559	3559	10593	training/k/kitchen/ADE_train_00010593.jpg	kitchen		here is part of a kitchen.	the oven and cabinets are all white.	the wall is white with a strip of wallpaper on it.	the counter tops are speckled grey marble.	the sink is grey.
3560	3560	11320	training/l/living_room/ADE_train_00011320.jpg	living_room		This is an expensive looking room with gold curtains.	There is a crystal chandalier on the ceiling.	There is elaborate mouldings by the ceiling.	On the far wall is a tapestry.	There's a wooden coffee table with candlesticks, magazines and some other decorations on it.
3561	3561	278	training/b/bedroom/ADE_train_00000278.jpg	bedroom		A bedroom with taupe colored walls.	The bed has a brown bedspread with red, white and black stripes.	There is a white ceiling fan.	There is a chair by the window.	There are nightstands on either side of the bed with table lamps on them.
3562	3562	1913	training/a/attic/ADE_train_00001913.jpg	attic		here is an upper story room.	there are two skylights on the right side.	there are two ceiling fan lights which are both on.	the room is empty.	a small window is on the far wall a little to the left.
3563	3563	101495	validation/l/laundromat/ADE_val_00001495.jpg	laundromat		this is a laundromat with the door open.	there is a rub in the center of the floor.	there are a couple carts in the middle.	one of the dryer doors on the back wall is left open.	the floor is grey tile.
3564	3564	7363	training/d/dorm_room/ADE_train_00007363.jpg	dorm_room		I see a kitchen.	There is a light brown table with two light brown chairs.	The stove is black.	There is a gray door partially visible to the right of the stove.	There is a row of light brown cabinets without doors on the far wall.
3565	3565	5507	training/c/childs_room/ADE_train_00005507.jpg	childs_room		this is a pink child's room.	there is white wainscoting halfway up the walls.	a sofa chair sits in the corner with an ottoman in front of it.	a white crib is against the wall.	there is a striped rug in the middle of the floor.
3566	3566	2716	training/b/bathroom/ADE_train_00002716.jpg	bathroom		here is a white toilet in a bathroom.	there is not much toilet paper on the roll to the left of the toilet.	the floor is tiled.	the wall is a cream color.	there is a kleenex box on the top of the toilet tank.
3567	3567	8481	training/g/garage/indoor/ADE_train_00008481.jpg	garage	indoor	The image is of a foyer or entryway.	There is no furniture in the beigy/yellow room with a normal door on the right.	There is a two paned curtainless window between the door on the right and a tall houseplant with two small windows above it on the left.	The floor and ceiling are white and there is a blond baseboard.	There is a covered light on the ceiling and some kind of white projection from the ceiling above the  plant.
3568	3568	10630	training/k/kitchen/ADE_train_00010630.jpg	kitchen		there are a lot of cabinets in this room	There is an island	There are things hanging from the ceiling	There are things hanging on the walls	there are cookbooks on the counters
3569	3569	10311	training/k/kitchen/ADE_train_00010311.jpg	kitchen		There is a fridge.	The window is on the right.	There are some white cabinets.	There is a sink in the middle.	There is a light switch on the right.
3570	3570	9392	training/h/home_office/ADE_train_00009392.jpg	home_office		Look for the office	with a mainly red chair	and a blonde wood desk	that only has two drawers	but a desktop and laptop computer on it
3571	3571	19942	training/w/wet_bar/ADE_train_00019942.jpg	wet_bar		A stocked corner bar with a mini fridge and beer on tap is the focal point of this room.	A tan love seat and a matching arm chair, along with a wooden coffee table are on the left side.	The large window is covered with burgundy colored blinds.	The wall mounted flat screen television has a Native American on the screen.	The dark brown crown molding matches the dark brown baseboards in this room.
3572	3572	2676	training/b/bathroom/ADE_train_00002676.jpg	bathroom		There is a sink.	The tile is pink beside the sink.	There are drawers below the sink.	There is a mirrow above the sink.	There is a soap dish beside the sink
3573	3573	101079	validation/b/bathroom/ADE_val_00001079.jpg	bathroom		It's a bathroom	with a glass brick half wall	and two sink vanity	with individual mirrors	and individual floor mats
3574	3574	2690	training/b/bathroom/ADE_train_00002690.jpg	bathroom		The image is a bathroom.	The toilet is white.	The shower is a standing shower and clear.	There is no bath rub.	The floor is white tile.
3575	3575	2952	training/b/bathroom/ADE_train_00002952.jpg	bathroom		Look for a bathroom	mostly in yellow	with the toilet lid up	and an unusual shower that has a glass window	where an Asian woman is peering through while wearing slippers
3576	3576	547	training/b/bedroom/ADE_train_00000547.jpg	bedroom		There is a bed in the middle of the roon.	There are sheets with a blue and yellow design.	There are two nightstands.	The bed has a iron rack on it.	The walls are pink.
3577	3577	10435	training/k/kitchen/ADE_train_00010435.jpg	kitchen		There is a red table.	There are flowers on the table.	There are three chairs beside the table.	There is a coffee maker in the back.	There is a window in the center.
3578	3578	3444	training/b/bedroom/ADE_train_00003444.jpg	bedroom		There are pink walls.	There are green curtains.	There is a bed in the room.	There is a pink fluffy chair.	The carpet has orange flowers on it.
3579	3579	11207	training/l/living_room/ADE_train_00011207.jpg	living_room		livingroom with pink walls, white trim and off white carpet	there is a mirror with gold framing above the couch	there are two upholstered tables in front of the couch with the one on the left having a vase with flowers in it on top of the table	there is a high table on the right near the door that has plants on it	above the high table is a small picture
3580	3580	100965	validation/l/living_room/ADE_val_00000965.jpg	living_room		A FORMAL LIVING ROOM	lIGHT COLORED COUCHES WITH ORNATE WOOD TRIM.	SOLID WOOD FLOORS WITH PERSIAN RUGS ON TOP OF THEM.	AN ORNATE GILDED MIRROR HANGING ON THE WALL.	BEAUTIFUL DARK WOOD ACCENT TABLE BETWEEN THE TWO COUCHES.
3581	3581	6911	training/d/dining_room/ADE_train_00006911.jpg	dining_room		There is a big table.	There are a few chairs around the table.	There is a low light hanging above the table	There is a glass stained window.	There is a rug on the table.
3582	3582	135	training/b/bathroom/ADE_train_00000135.jpg	bathroom		This is a bathroom.	The cabinets are a mahogany colored wood.	There are two sinks with light fixtures over the sinks.	The walls are an eggshell white.	The door is white and open.
3583	3583	10336	training/k/kitchen/ADE_train_00010336.jpg	kitchen		a kitchen with light wood cabinets and beige flooring	there are three windows above the sink with a red and white valance	there is a white dishwasher to the right of the sink	there is a plant to the left of the sink	there are plates leaning against the wall on the counter to the left of the plant
3584	3584	15534	training/p/poolroom/home/ADE_train_00015534.jpg	poolroom	home	Look for the pool table	when a man about to break the stacked balls	the felt of the table is pink or salmon	there are three lights above the table	otherwise it has no other furniture but the table
3585	3585	19403	training/u/utility_room/ADE_train_00019403.jpg	utility_room		This is a laundry room.	The washer and dryer are front loaders.	The cabinets, washer and dryer are white.	The walls are a light grey color.	There is a window over the washer and dryer.
3586	3586	624	training/k/kitchen/ADE_train_00000624.jpg	kitchen		tan diamond shaped tiles on the white backsplash	stainless steel appliances and island	wooden ceiling and beams	wood floors with grey rugs	four window panels over sink
3587	3587	7068	training/d/dining_room/ADE_train_00007068.jpg	dining_room		It's a dining area	with a 6 seat dining table	the wood is warm but the chair are upholstered in white	and small chandelier hangs above in	and a four paned window with roman shades are near
3588	3588	9	training/b/bathroom/ADE_train_00000009.jpg	bathroom		This is the bathroom.	Eveything except a picture is white.	The pictue is of pink flowers against a black backround.	There is a shower and tub together.	The bathroom is small but very clean.
3589	3589	431	training/b/bedroom/ADE_train_00000431.jpg	bedroom		Hey, I almost thought this was a waterbed, but it is not.	It has the wood encased around the bed and built in lamp into the headboard like one.	That head board with the built in shelves and lamp sure did fool me.	I love the blue colored bedding!	The blue tile polished flooring really tops it all off great.
3590	3590	15215	training/p/parlor/ADE_train_00015215.jpg	parlor		There are two pink chairs,	There is a wood guitar.	There is a light on the table.	There are statues on the den desk.	There is a blue carpet.
3591	3591	50	training/b/bathroom/ADE_train_00000050.jpg	bathroom		the ceiling is slanted with a skylight	there is a white bath tub with a white shower curtain under the window	there is a chair sitting in front of the bath tub with a green towel on the seat	there is a white vase with red flowers sitting next to the chair	there are slippers with brown fur in front of the chair
3592	3592	791	training/l/living_room/ADE_train_00000791.jpg	living_room		It is a large living room/dining room.	There are stairs on the left side.	A dining table and chairs are beside the stairs.	A brown couch and chair are on the right side.	There is a post in the middle of the room.
3593	3593	3334	training/b/bedroom/ADE_train_00003334.jpg	bedroom		It is a pleasant bedroom, with a wooden bed for two people and two wooden desks with lit lamps on both sides.	There are two pillows at the foot of the bed, with embroidered black hearts in the corners.	There are blue blankets and pillows stacked at the foot of the bed.	The bed frame has hearts carved into it.	Basically everything in the room is wood - it gives it a certain feeling, like that of a cottage.
3594	3594	99	training/b/bathroom/ADE_train_00000099.jpg	bathroom		A white clawfoot bathtub has a dark towel hanging over the side.	A three panel screen is behind and to one side of the bathtub.	A three panel window in in the back wall.	A large green plant is in the back corner of the room behind the bathtub.	The upper walls are tan and the lower walls are white boarding.
3595	3595	401	training/b/bedroom/ADE_train_00000401.jpg	bedroom		There is a big open window.	The bed has the American flag on it	There are two plates above the bed.	There is a nightstand beside the bed.	There is a blanket on the bed.
3596	3596	11241	training/l/living_room/ADE_train_00011241.jpg	living_room		it's a living room	with harvest gold recliner and couch	all containing flat white pillows	a floor lamp is between the couch and recliner	and a no frills coffee table is in front of the couch
3597	3597	2715	training/b/bathroom/ADE_train_00002715.jpg	bathroom		The image is of a bathroom	The image focuses mainly on a jacuzzi tub	The tub is in a corner with 2 windows to look out of	The bathroom is done in shades of gold and cream	The style is mainly French
3598	3598	4046	training/b/bedroom/ADE_train_00004046.jpg	bedroom		This looks like a college bedroom.	The walls are painted white.	There is a desk against the wall and chair made of wood.	There is a window beside the desk and a bed to the right of the window.	The floor is blue and carpeted.
3599	3599	2554	training/b/bathroom/ADE_train_00002554.jpg	bathroom		And all white bathroom.	There is a red with some green shower curtain with some blue behind it.	Behind the toilet is a shelf.	The sink is right in the front of the picture	Looks to be a little red bottle in the shower
3600	3600	16739	training/s/stable/ADE_train_00016739.jpg	stable		A ROW OF STABLES ALL CONNECTED.	aN OUTSIDE STABLE AREA BEYOND THE FENCE.	ALL THE STABLES ARE GREEN WITH WHITE DOORS.	ALL THE TOP PARTS OF THE DUTCH DOORS ARE OPEN.	THERE ARE MANY TALL PINE TREES BEYOND THE STABLES.
3601	3601	3681	training/b/bedroom/ADE_train_00003681.jpg	bedroom		the walls are blue and the floor is yellow	on the left is a desk that fits into the corner with a chair with a lot of drawers	at the right is a four drawer dresser	there is a plant and books on top of the dresser	there are pictures on the shelves of the desk
3602	3602	498	training/b/bedroom/ADE_train_00000498.jpg	bedroom		This is a bedroom.	There is a queen sized bed in the middle of the room with the headboard against the wall.	There is a wooden ceiling fan above the bed.	There are two table lamps on end tables on either side of the bed.	The walls are an eggshell white .
3603	3603	100375	validation/g/game_room/ADE_val_00000375.jpg	game_room		There is a foosball table.	There is a small tv in the corner.	There is one window.	There is a couch with flower design.	There is a photo on the wall.
3604	3604	3970	training/b/bedroom/ADE_train_00003970.jpg	bedroom		I see a bedroom.	There is a single bed in the room.	There is a night stand on either side of the bed.	Each night stand has a lamp with a white shade.	There is a telephone on the night stand on the right side of the bed.
3605	3605	101167	validation/b/bedroom/ADE_val_00001167.jpg	bedroom		This is a small bedroom.	The walls are painted a pale yellowish color.	The cabinets and vanity are made of wood.	The bed has a floral print cover.	The floor is carpeted with a light beige color.
3606	3606	100079	validation/b/bathroom/ADE_val_00000079.jpg	bathroom		This is a picture of a bathroom.	The walls of the bathroom are a bright blue.	The tub, shower and sinks are all white.	There is a rectangular window above the tub.	There is a string of 8 lights above the dual sinks.
3607	3607	2847	training/b/bathroom/ADE_train_00002847.jpg	bathroom		This is a picture of a hotel bathroom.	The toilet is white and is exactly in the center of the photo.	The shower is to the left of the toilet.	The sink sink/counter is to the right of the toilet	There is a two tier towel rack directly above the toilet with white towels on it.
3608	3608	11442	training/l/living_room/ADE_train_00011442.jpg	living_room		This is an opening living room and dining room concept.	There is a fireplace with white cabinets above it on the far wall.	There is a sofa and sofa table separating the dining area from the living room.	On the dining table in the forefront of the picture, there is a large bouquet of flowers.	The stairwell on the far wall has white wood spindles.
3609	3609	6898	training/d/dining_room/ADE_train_00006898.jpg	dining_room		Imagine a modern residential interior with ornate antique decor in a dining room.	Large white molding throughout with a hotel lobby feel and french ascent chandelier with light fixtures.	The main window features white plantation shutters.	The wooden floors are draped in a Turkish rug.	The dark wooden antique dining table and wooden hutch bring a classic look to the room.
3610	3610	11436	training/l/living_room/ADE_train_00011436.jpg	living_room		There is a green, velvet couch near the window	The fireplace on the right is white	The floors are light hardwood	There are several blue vases and a yellow one on a table near the fireplace	There is a wooden coffee table with a striped runner on it
3611	3611	10650	training/k/kitchen/ADE_train_00010650.jpg	kitchen		A kitchen counter view will all light colored cabinet and two black bar stools in the center of the picture	There are place mats and table settings on the counter table that is in front of the bar stool seats	The is a window with yellow curtains have way down the window that is between two cabinets.	On the left wall there is a wooden fish net object and a straw wreath	The is an L shaped cabinet attached to the counter that is 4 levels and has pots and baskets on each of the levels
3612	3612	4055	training/b/bedroom/ADE_train_00004055.jpg	bedroom		A bedroom with a neatly made bed.	The back of a woman can be seen in the doorway.	The bed has a light brown coverlet with white leaves on it.	There are lamps on the nightstands flanking the bed.	A woman wearing black pants is bent over in the doorway.
3613	3613	269	training/b/bedroom/ADE_train_00000269.jpg	bedroom		A CORNER OF A BEDROOM.	THERE IS A LOG CABIN WALL ON ONE SIDE WITH EXPOSED BEAMS.	TEHRE IS A WOODYS QUILT ON TEH BED.	THERE IS A WINDOW WITH WHITE CURTAINS OVER THE BED.	THERE IS ALSO A WHITE PAINTED WALL IN THE ROOM.
3614	3614	15183	training/p/parlor/ADE_train_00015183.jpg	parlor		There is a gold statue of a man a horse during the colonial period with the horses front legs in the air	The is a large chandelier with candles on it in multi levels	The walls are ornate white and gold with a large picture of people on the left and a large mirror in the back	On the tops of the 2 walls shown, there are small characters in gold color and a circular window above the mirror	The ceiling is painted as a dark sky with clouds.
3615	3615	5775	training/c/closet/ADE_train_00005775.jpg	closet		It's a closet	white a white center island	a mirror takes up one wall	and a large wardrobe is on the other side with plants on it	The room also has multi colored hats or visors laid out on a shelf
3616	3616	7200	training/d/dining_room/ADE_train_00007200.jpg	dining_room		This is a dining room.	There is a beautiful mahogany table and chairs.	The windows have old fashioned curtains.	There is an expensive oriental rug under the table and chairs.	The room overall is fancy and old fashioned.
3617	3617	100422	validation/h/home_office/ADE_val_00000422.jpg	home_office		There is a grey chair.	There is a small space heater in the corner.	There is a chalkboard on the wall.	There is a window with the blinds closed.	There are two computers.
3618	3618	54	training/b/bathroom/ADE_train_00000054.jpg	bathroom		The floors are hardwood.	The ceiling is wood paneling.	There is a toilet in the room.	There is a chair next to the toilet.	The walls are white.
3619	3619	4164	training/b/bedroom/ADE_train_00004164.jpg	bedroom		It is the majestical white bedroom.	It even has a white fireplace!	The wall paper is a majestical white design also.	The chair, cushion, and rug along with the curtains are all white together with the bedspread, pillows, and built in cushioned headboard.	Imagine lying there with the overhead light looking like a 4th of July firework that was shot off in the air!
3620	3620	37	training/b/bathroom/ADE_train_00000037.jpg	bathroom		THere is a white bathtub.	There is a flood light.	There are two big windows.	There are towels on the bathtub.	There is a heart on the wall.
3621	3621	461	training/b/bedroom/ADE_train_00000461.jpg	bedroom		The alcove at the end of the bedroom is triangle shaped.	There's a window with one large pane and four smaller ones set in the alcove wall.	There are two skylights in the ceiling to the left of the room	Seating with two chairs and tables and stools are in the alcove.	There's a tan and white striped throw at the foot of the bed.
3622	3622	100086	validation/b/bathroom/ADE_val_00000086.jpg	bathroom		This is a bathroom.	The walls are painted a pale yellow.	The tub is white.	There is a brown leather arm chair beside the tub.	There is a green towel folded on the side of the tub.
3623	3623	15566	training/p/poolroom/home/ADE_train_00015566.jpg	poolroom	home	A pool table has a lavender top instead of the usual green.	There's a couch and chair in the background that are a different shade of lavender.	The lighted fixture over the pool table has three silvery shades.	There's a wooden table with a yellow top and lavender legs.	Four yellow wooded chairs are at the wooden table.
3624	3624	11183	training/l/living_room/ADE_train_00011183.jpg	living_room		There is a wrought iron and glass coffee table with books on it	The couch and chairs have all white slipcovers covering them	The couch throw pillows are black and white with a floral design	The walls are a light grey	There are three paintings with golden picture frames
3625	3625	10725	training/k/kitchen/ADE_train_00010725.jpg	kitchen		Hey, check out this kitchen with the kitchen island.	The cupboards (upper and lower) as well as the island are all painted white.	The appliances are all white also.	The floor looks like natural wood.	They topped it off with a lot of decor above the cabinets and a rainbow striped curtain above the sink on the window.
3626	3626	100478	validation/k/kitchen/ADE_val_00000478.jpg	kitchen		It is a kitchen with black dots on the tile floor.	There is a refrigerator with a bunch of pictures on it.	The garbage can is underneath the window.	Its the picture with light green walls.	There is a floor mat in between the garbage can and the counter.
3627	3627	2663	training/b/bathroom/ADE_train_00002663.jpg	bathroom		The ambiance in this bathroom says Scottish.	Plaid wallpaper covers the bathtubs area header with a red accent wall beneath.	The flooring and bathtub side appears to be a stone or tile in tan.	There is a floral picture and red and green towels hanging over the electric heating .	One recessed light fixture shines just over the picture.
3628	3628	4002	training/b/bedroom/ADE_train_00004002.jpg	bedroom		There is a bed in the middle of the room.	There is a wood dresser.	There is a open window.	There is an open door that leads into another room.	There is a sail boat on the shelf.
3629	3629	821	training/l/living_room/ADE_train_00000821.jpg	living_room		There is a purple couch to the left.	There is a ceiling fan.	There is a plant to the right.	There are four small windows.	There is a painting on the wall.
3630	3630	2970	training/b/bathroom/ADE_train_00002970.jpg	bathroom		There is a coral pink hand towel hanging near the medicine cabinet	The shower curtain is clear vinyl with a multicolored dot print	There is a green dispenser and white dispenser on either side of the sink	The sink is white as is the medicine cabinet	There are clear plastic storage bins in between the shower and sink
3631	3631	8416	training/g/game_room/ADE_train_00008416.jpg	game_room		there is a foosball table at the left corner next to the white door	there is a black, silver and red pool table in the center of the room	there is a black couch in front of the window to the right of the foosball table	the windnow has a blue valance	there is a white table to the right of the couch
3632	3632	11381	training/l/living_room/ADE_train_00011381.jpg	living_room		There is a fireplace.	The lights are on from a chandelier.	There are small pink chairs.	The walls are painted yellow.	There is one big window.
3633	3633	9324	training/h/home_office/ADE_train_00009324.jpg	home_office		A bright happy room! Sunflower yellow walls, purple carpet and a big window for lots of light.	Books galore on a wooden desk, along with a small white reading and glass vase with tall greenery.	A green coffee cup on the left side of the desk, almost on the edge.	The purple carpet and purple jacket make the white chair look lavendar.	A purple fleece jacket is hanging on one side of the chair.
3634	3634	15552	training/p/poolroom/home/ADE_train_00015552.jpg	poolroom	home	a brown wood with black top pool table	the balls on top of the pool table are racked up	the pool table is sitting on a brick floor	there are flowers at the back corner of the pool table	there are chains hanging from the pool table pockets
3635	3635	10532	training/k/kitchen/ADE_train_00010532.jpg	kitchen		This is a kitchen.	The cabinets are all made of an amber colored wood.	There is a 3 light light fixture hanging over a rectangular table.	The back splash is tiled.	The refrigerator is also made of wood.
